class_id,precision,recall,f1,accuracy,true_positive,false_positive,false_negative
727,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
728,0.0,0.0,0.0,1.0,0,0,0
729,1.0,0.5,0.6666666666666666,0.9996485061511423,1,0,1
730,0.0,0.0,0.0,0.9996485061511423,0,0,1
731,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
732,0.0,0.0,0.0,0.9996485061511423,0,0,1
733,0.0,0.0,0.0,0.9996485061511423,0,0,1
734,0.0,0.0,0.0,1.0,0,0,0
735,0.0,0.0,0.0,1.0,0,0,0
736,0.0,0.0,0.0,1.0,0,0,0
737,1.0,1.0,1.0,1.0,1,0,0
738,1.0,1.0,1.0,1.0,1,0,0
739,0.0,0.0,0.0,0.9996485061511423,0,0,1
740,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
741,0.0,0.0,0.0,0.9992970123022847,0,0,2
742,1.0,1.0,1.0,1.0,1,0,0
743,0.0,0.0,0.0,0.9996485061511423,0,0,1
744,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
745,0.0,0.0,0.0,1.0,0,0,0
746,0.0,0.0,0.0,0.9992970123022847,0,1,1
747,0.0,0.0,0.0,0.9996485061511423,0,0,1
748,0.0,0.0,0.0,1.0,0,0,0
749,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
750,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
751,0.0,0.0,0.0,1.0,0,0,0
752,1.0,1.0,1.0,1.0,1,0,0
753,0.0,0.0,0.0,0.9996485061511423,0,0,1
754,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
755,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
756,0.0,0.0,0.0,0.9996485061511423,0,0,1
757,0.0,0.0,0.0,0.9996485061511423,0,0,1
758,0.0,0.0,0.0,0.9992970123022847,0,0,2
759,0.0,0.0,0.0,0.9996485061511423,0,0,1
760,0.0,0.0,0.0,1.0,0,0,0
761,0.0,0.0,0.0,0.9996485061511423,0,0,1
762,0.0,0.0,0.0,0.9996485061511423,0,0,1
763,0.0,0.0,0.0,0.9996485061511423,0,0,1
764,0.0,0.0,0.0,0.9996485061511423,0,1,0
765,0.0,0.0,0.0,0.9996485061511423,0,0,1
766,0.0,0.0,0.0,1.0,0,0,0
767,1.0,1.0,1.0,1.0,1,0,0
768,0.3333333333333333,1.0,0.5,0.9992970123022847,1,2,0
769,0.0,0.0,0.0,1.0,0,0,0
770,0.0,0.0,0.0,0.9996485061511423,0,0,1
771,0.0,0.0,0.0,0.9992970123022847,0,1,1
772,0.0,0.0,0.0,0.9992970123022847,0,1,1
773,0.0,0.0,0.0,0.9992970123022847,0,1,1
774,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
775,0.0,0.0,0.0,0.9996485061511423,0,1,0
776,0.0,0.0,0.0,0.9996485061511423,0,0,1
777,0.0,0.0,0.0,0.9996485061511423,0,1,0
778,0.0,0.0,0.0,0.9996485061511423,0,0,1
779,0.0,0.0,0.0,0.9996485061511423,0,0,1
780,0.0,0.0,0.0,1.0,0,0,0
781,0.0,0.0,0.0,0.9992970123022847,0,2,0
782,0.0,0.0,0.0,1.0,0,0,0
783,0.0,0.0,0.0,1.0,0,0,0
784,0.0,0.0,0.0,1.0,0,0,0
785,1.0,1.0,1.0,1.0,1,0,0
786,0.0,0.0,0.0,0.998945518453427,0,2,1
787,0.5,1.0,0.6666666666666666,0.9996485061511423,1,1,0
788,0.0,0.0,0.0,1.0,0,0,0
789,1.0,1.0,1.0,1.0,1,0,0
790,1.0,1.0,1.0,1.0,1,0,0
791,0.0,0.0,0.0,0.9996485061511423,0,0,1
792,0.0,0.0,0.0,0.9992970123022847,0,1,1
793,0.0,0.0,0.0,0.9996485061511423,0,0,1
794,1.0,1.0,1.0,1.0,1,0,0
795,0.0,0.0,0.0,0.9996485061511423,0,0,1
796,0.0,0.0,0.0,0.9996485061511423,0,0,1
797,1.0,1.0,1.0,1.0,1,0,0
798,1.0,1.0,1.0,1.0,1,0,0
799,0.0,0.0,0.0,0.9996485061511423,0,0,1
800,1.0,1.0,1.0,1.0,1,0,0
801,0.0,0.0,0.0,0.9996485061511423,0,1,0
802,0.0,0.0,0.0,0.9996485061511423,0,0,1
803,0.0,0.0,0.0,1.0,0,0,0
804,0.0,0.0,0.0,1.0,0,0,0
805,0.0,0.0,0.0,1.0,0,0,0
806,0.0,0.0,0.0,0.9996485061511423,0,1,0
807,0.0,0.0,0.0,1.0,0,0,0
808,0.0,0.0,0.0,1.0,0,0,0
809,0.0,0.0,0.0,1.0,0,0,0
810,0.0,0.0,0.0,1.0,0,0,0
811,0.0,0.0,0.0,1.0,0,0,0
812,0.0,0.0,0.0,0.9996485061511423,0,1,0
813,1.0,1.0,1.0,1.0,1,0,0
814,0.0,0.0,0.0,1.0,0,0,0
815,0.0,0.0,0.0,0.9996485061511423,0,1,0
816,1.0,1.0,1.0,1.0,1,0,0
817,0.0,0.0,0.0,0.9996485061511423,0,1,0
818,0.0,0.0,0.0,1.0,0,0,0
819,0.0,0.0,0.0,0.9996485061511423,0,0,1
820,0.0,0.0,0.0,1.0,0,0,0
821,0.0,0.0,0.0,0.9996485061511423,0,1,0
822,0.0,0.0,0.0,1.0,0,0,0
823,0.0,0.0,0.0,1.0,0,0,0
824,0.0,0.0,0.0,0.9996485061511423,0,1,0
825,0.0,0.0,0.0,1.0,0,0,0
826,0.0,0.0,0.0,1.0,0,0,0
827,0.0,0.0,0.0,0.9996485061511423,0,0,1
828,0.0,0.0,0.0,0.9992970123022847,0,1,1
829,0.0,0.0,0.0,1.0,0,0,0
830,1.0,1.0,1.0,1.0,1,0,0
831,0.0,0.0,0.0,1.0,0,0,0
832,0.0,0.0,0.0,0.9996485061511423,0,0,1
833,0.0,0.0,0.0,0.9992970123022847,0,1,1
834,0.0,0.0,0.0,1.0,0,0,0
835,0.0,0.0,0.0,0.9996485061511423,0,1,0
836,0.0,0.0,0.0,1.0,0,0,0
837,0.0,0.0,0.0,1.0,0,0,0
838,0.0,0.0,0.0,0.9996485061511423,0,0,1
839,1.0,1.0,1.0,1.0,1,0,0
840,0.0,0.0,0.0,1.0,0,0,0
841,0.0,0.0,0.0,1.0,0,0,0
842,0.0,0.0,0.0,1.0,0,0,0
